City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Meulaboh,ID,4.1363,96.1285,297.83,87,79,1.02,1618441028
Mossamedes,AO,-15.1961,12.1522,300.19,73,48,0.58,1618440772
Kununurra,AU,-15.7667,128.7333,291.15,94,54,0.92,1618441028
Vodnyy,RU,63.5046,53.4095,275.81,92,88,3.23,1618441029
Hilo,US,19.7297,-155.09,300.15,54,40,5.66,1618440805
Rikitea,PF,-23.1203,-134.9692,298.79,69,8,2.46,1618441029
Port Alfred,ZA,-33.5906,26.891,293.33,79,85,2.7,1618440851
Ushuaia,AR,-54.8,-68.3,279.15,75,75,5.66,1618440939
Sitka,US,57.0531,-135.33,280.15,76,90,2.57,1618441030
Mataura,NZ,-46.1927,168.8643,287.59,86,67,3.13,1618441030
Alofi,NU,-19.0595,-169.9187,300.15,69,40,2.57,1618441031
Athabasca,CA,54.7169,-113.2854,288.15,20,67,4.12,1618441031
Znamenskoye,RU,57.1281,73.8282,277.82,99,96,2.47,1618441031
Ubari,LY,26.5921,12.7805,296.27,23,58,4.96,1618441032
Hermanus,ZA,-34.4187,19.2345,291.48,88,18,2.24,1618441032
Hammerfest,NO,70.6634,23.6821,272.15,59,75,1.03,1618441032
Bulembu,SZ,-25.9667,31.1333,292.15,68,3,1.61,1618441033
Santa Teresa del Tuy,VE,10.2341,-66.6631,303.15,70,40,4.63,1618441033
Ostrovnoy,RU,68.0531,39.5131,271.25,81,77,12.69,1618441033
Punta Arenas,CL,-53.15,-70.9167,278.15,81,0,9.77,1618441034
Busselton,AU,-33.65,115.3333,289.3,69,99,1.37,1618441034
Zhigansk,RU,66.7697,123.3711,265.66,91,100,3.85,1618441034
Tuktoyaktuk,CA,69.4541,-133.0374,268.15,86,90,2.06,1618441035
Vaini,TO,-21.2,-175.2,299.15,73,40,3.09,1618441035
Port Hardy,CA,50.6996,-127.4199,285.15,58,40,5.14,1618441035
Khatanga,RU,71.9667,102.5,247.3,97,43,3.84,1618441036
Biltine,TD,14.5333,20.9167,299.34,8,11,5.05,1618441036
Usvyaty,RU,55.7456,30.7533,278.27,95,100,3.54,1618441036
Christchurch,NZ,-43.5333,172.6333,289.82,77,40,5.66,1618440379
Carnarvon,AU,-24.8667,113.6333,295.89,43,0,8.3,1618441037
Lashio,MM,22.9333,97.75,290.83,33,87,0.23,1618441037
Yar-Sale,RU,66.8333,70.8333,275.29,100,100,5.8,1618441038
